subject_id,gender,age,understood,realPeople,comments,passed_attention_checks,total_points,total_pay
9ff9ad628fa015fb3da0b73e6c86c59e,female,37,yes,no,NA,2,8,4.71
c225fdc0c892163e036a6b1e59f385de,male,31,yes,yes,NA,2,13,5.78
2a5d97bb20320cd8023f477f2ca30148,male,43,yes,no,NA,1,7,4.5
1af8f9b1fd72c68243329413da663cec,female,37,yes,yes,NA,1,7,4.5
f9ee3f0de717032a2fd738c1fbab007b,female,25,yes,no,I had fun with this survey. Good luck with your results! :-),2,8,4.71
d52bd40d3d5a7d7d0e0a40097ae76559,male,43,yes,yes,nothing,0,7,4.5
81c55c3e18f218345d28f6a1300487f9,female,34,yes,yes,no,2,8,4.71
44d36d6744ac7050965d7fd145168f88,female,68,yes,no,none,1,9,4.93
c7ad441ca72e1ed677f2d6dca8c6401d,male,31,yes,yes,none,2,9,4.93
badf6eb7a667093d7f00916e40c66835,male,31,yes,no,NA,2,9,4.93
52f6dcd2bf9c7d2d0e423ffec470670b,male,34,yes,yes,NA,2,9,4.93
ffb9ea385add6ebedab2764b9f137d0a,female,35,yes,yes,NA,1,7,4.5
9a2b7d6d4a8d0d581667c30146b8af25,male,36,yes,no,NA,2,9,4.93
6660f3ed34773f9b746a58a3c59415f0,male,50,yes,no,NA,2,11,5.35
8f64257821a43f4367c498907438e2fb,female,49,yes,yes,NA,2,6,4.28
ec535b1bbafee8c26ab6797a2e6c3860,male,31,yes,no,NA,1,9,4.93
8cf1e943ab781a9bcb63aed309de9149,female,19,yes,yes,Interesting study.,2,12,5.57
db1f56be0e6e546200c7a17e099a0b6b,female,36,yes,yes,"The study was interactive, thank you.",2,10,5.14
e3e96bdb55634512360a02e132826682,male,24,yes,no,NA,1,5,4.07
b8f4558d2c96226ba46ccf578d7c9474,female,49,yes,no,Thank you,2,10,5.14
3767de7aac209a5b6f8f89c305e52d2a,male,37,yes,no,NA,2,8,4.71
0cc39063c61d7eacb5ea6cf393aa4d2a,male,32,yes,yes,The survey was awesome.,1,8,4.71
4013deb13160c407272ba0731d1e1eed,female,25,yes,yes,NA,1,8,4.71
d4f5fc7464e1eeb0955539ba50d6cc44,male,29,yes,yes,No. Thanks.,2,11,5.35
61e58883cd9a1303872556b98973cbdf,female,41,yes,yes,The interaction was fun.,2,11,5.35
0013cadea25f4e1e710bd7cad1a73276,male,39,yes,no,NA,2,9,4.93
cd4f8bfd41899afa297adc55c76b4300,male,51,yes,yes,That was interesting. I enjoyed your study.,2,8,4.71
aea77c7876801747e3ec7696fafb1403,female,34,yes,yes,NA,1,8,4.71
236f8f90be786e835fb6c82226b56779,female,40,yes,yes,N/A,1,10,5.14
417c44c0cfe1c3f7ca6c79f3a70b80af,male,22,yes,no,NA,2,8,4.71
a004b8d2c41b2fc095f014a17a82d4ab,female,55,yes,no,NA,1,7,4.5
a422f0e3129d132b25c76ba25f2a695d,female,33,yes,no,NA,2,8,4.71
5f1159b79f1255dd21a899cb3e82acce,male,37,yes,yes,none,2,9,4.93
0e09862718fad982c054bd825416fb33,male,36,yes,no,NA,2,7,4.5
f37bb0347fffb42cf521561ee25c4b11,female,27,yes,no,NA,2,10,5.14
737e49e5a7981c04c6beaa94a0a310ce,male,48,yes,yes,NA,2,10,5.14
c3e992eab9cb61fb650927f7f122f3e1,female,46,yes,no,I wish I had facial expressions or body language information before I made my decision.,2,7,4.5
0050011b38df3414c12ab46794171265,female,59,yes,yes,NA,2,7,4.5
b32469a99618e0a53179b5f978c70843,female,30,yes,yes,NA,2,10,5.14
619647b575ccd60210451093110c2d21,male,41,yes,no,none,1,6,4.28
4945c0d64e7ad8ca6f4c77302cf24531,female,32,yes,no,NA,1,6,4.28
59264a05301b7788e6776bfd18635487,male,40,yes,yes,NA,2,9,4.93
259bf1eb9c09d1eaef93cd1f1350cc81,male,36,yes,yes,None,2,9,4.93
efc9ffba321ca20e5714dbdad5e098c8,female,44,yes,yes,NA,2,8,4.71
8b124353e7ee6520b84a0cff1d14d454,male,34,yes,yes,"My apologies for missing that first attention check. If this results in a rejection, please allow me the chance to return the project before being rejected. Thanks so much!",1,9,4.93
ae9b1280d68c6ef67b702f1063adfd09,male,31,yes,yes,NA,2,7,4.5
