subject_id,story,relationship,type,n,diff,ci_lower,mean,ci_upper,Precedent,Reciprocity,prec_minus_rec,p_prec
524c1b16f40c278b4f668eae7cedcb80,gifts,Lower,benefit,58,-3.29824561403509,-3.94645206766917,-3.28325938209958,-2.52659644939057,6,7,-1,0.46153846153846156
524c1b16f40c278b4f668eae7cedcb80,gifts,Lower,effort,59,3.64406779661017,2.97805807916937,3.63075242801046,4.19672752111277,6,7,-1,0.46153846153846156
524c1b16f40c278b4f668eae7cedcb80,meeting location,Higher,benefit,58,-0.410714285714286,-0.808752417794971,-0.41989655101551,0,7,3,4,0.7
524c1b16f40c278b4f668eae7cedcb80,meeting location,Higher,effort,59,1.16949152542373,0.886738026124818,1.1702876017146,1.48338235294118,7,3,4,0.7
524c1b16f40c278b4f668eae7cedcb80,weekend,Lower,benefit,58,-1.78947368421053,-2.32772988505747,-1.78386505039538,-1.16990481522956,6,3,3,0.6666666666666666
524c1b16f40c278b4f668eae7cedcb80,weekend,Lower,effort,59,1.79310344827586,1.22798066595059,1.77146858372062,2.30459627329193,6,3,3,0.6666666666666666
524c1b16f40c278b4f668eae7cedcb80,concerts,Higher,benefit,58,-2.73214285714286,-3.26095159967186,-2.72666998189961,-2.21274983881367,3,7,-4,0.3
524c1b16f40c278b4f668eae7cedcb80,concerts,Higher,effort,59,2.47457627118644,2.07934173669468,2.47568850337003,2.86,3,7,-4,0.3
524c1b16f40c278b4f668eae7cedcb80,police,Higher,benefit,58,-3.17241379310345,-3.73223551212938,-3.17340992296189,-2.59586538461538,6,3,3,0.6666666666666666
524c1b16f40c278b4f668eae7cedcb80,police,Higher,effort,59,2.71186440677966,2.083203125,2.70763244753575,3.24213709677419,6,3,3,0.6666666666666666
524c1b16f40c278b4f668eae7cedcb80,group project,Higher,benefit,58,0.172413793103448,-0.359418402777778,0.178034722654269,0.740018518518518,7,1,6,0.875
524c1b16f40c278b4f668eae7cedcb80,group project,Higher,effort,59,1.79661016949153,1.19991803278689,1.79255084861162,2.30642393320965,7,1,6,0.875
524c1b16f40c278b4f668eae7cedcb80,housemates,Lower,benefit,58,-1.05263157894737,-1.48169934640523,-1.0512734594822,-0.653061224489796,6,3,3,0.6666666666666666
524c1b16f40c278b4f668eae7cedcb80,housemates,Lower,effort,59,1.91525423728814,1.41269841269841,1.90876151478911,2.36625277983692,6,3,3,0.6666666666666666
524c1b16f40c278b4f668eae7cedcb80,conversation,Lower,benefit,58,-0.879310344827586,-1.31045657726692,-0.876554703402032,-0.428571428571429,5,6,-1,0.45454545454545453
524c1b16f40c278b4f668eae7cedcb80,conversation,Lower,effort,59,-0.11864406779661,-0.508236901317904,-0.114453006602059,0.241935483870968,5,6,-1,0.45454545454545453
524c1b16f40c278b4f668eae7cedcb80,fundraising,Lower,benefit,58,-0.912280701754386,-1.43641945773525,-0.907935906195113,-0.383333333333333,5,7,-2,0.4166666666666667
524c1b16f40c278b4f668eae7cedcb80,fundraising,Lower,effort,59,2.6271186440678,2.2631363244176,2.62680158614329,2.9675782414307,5,7,-2,0.4166666666666667
524c1b16f40c278b4f668eae7cedcb80,meeting prep,Higher,benefit,58,-1.17241379310345,-1.69572662298988,-1.16023701353136,-0.586185870479394,6,5,1,0.5454545454545454
524c1b16f40c278b4f668eae7cedcb80,meeting prep,Higher,effort,59,2.59322033898305,2.22575830524795,2.58482968947095,2.93239830508475,6,5,1,0.5454545454545454
